16 16
4
7
6
4 11
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 0; 0; 0; 1; 1; 0; 1; 1; 0; 4; 4; 4; 4; 0; 0
0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 4; 4; 4; 4; 0; 0
0; 0; 1; 1; 1; 1; 1; 1; 4; 4; 4; 4; 4; 4; 0; 0
0; 1; 1; 1; 1; 1M; 1; 1P; 4; 4; 4P; 4; 4; 4; 0; 0
0; 1; 1; 1P; 1; 1; 1M; 1; 4; 4; 4; 4P; 4; 4; 0; 0
0; 1; 1M; 2; 2; 2; 2; 2; 4; 4; 5; 5; 5; 5; 0; 0
0; 1; 2M; 2M; 2; 2; 2; 2; 4; 5; 5; 5; 5; 5; 0; 0
0; 1; 2M; 2M; 2; 2; 2; 2; 4; 5; 5; 5; 5; 5; 0; 0
0; 2; 2P; 2; 2; 2; 2; 2; 5; 5; 5; 5; 5; 5; 0; 0
0; 3; 2; 3; 3; 3; 3; 3M; 5; 5; 5; 5; 5; 5; 0; 0
0; 3; 3; 3; 3; 3; 3M; 3M; 5; 5; 5; 5; 5; 5; 0; 0
0; 3; 3; 3; 3; 3; 3; 3; 5; 5; 5; 5; 5; 5; 0; 0
0; 0; 3; 0; 0; 3; 3; 0; 0; 0; 5; 5; 0; 0; 0; 0
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
